,ds,yhat,yhat_lower,yhat_upper
0,2024-06-30,85776.40312393865,85776.4030744715,85776.40317865564
1,2024-09-30,94929.01141275904,94929.01135880659,94929.0114669676
2,2024-12-31,124299.61899186097,124299.61894125157,124299.6190442926
3,2025-03-31,95359.46819404092,95359.46814261454,95359.46825071573
4,2025-06-30,94035.42345381151,94035.42339974517,94035.42350407664
5,2025-09-30,100784.86542266957,100784.86513696931,100784.86569819659
6,2025-12-31,145667.9563198731,145667.9554596359,145667.9571430493
7,2026-03-31,89001.9673419816,89001.96563494275,89001.96897878002
8,2026-06-30,101900.9673501158,101900.96470089046,101900.97003249497
9,2026-09-30,106303.31155732194,106303.30772371053,106303.31517358703
10,2026-12-31,167002.35815068323,167002.35319313942,167002.36290252808
11,2027-03-31,82514.33231744975,82514.32605151615,82514.33863118975
12,2027-06-30,109368.64415473316,109368.63639660666,109368.65177382408
